# ik    E (eV)      weight
    0.019589    0.800000    0.197868
    0.019589    0.850000    0.171264
    0.019589    0.900000    0.154020
    0.019589    0.950000    0.143113
    0.019589    1.000000    0.136882
    0.019589    1.050000    0.134445
    0.019589    1.100000    0.135425
    0.019589    1.150000    0.139849
    0.019589    1.200000    0.148149
    0.019589    1.250000    0.161273
    0.019589    1.300000    0.180972
    0.019589    1.350000    0.210403
    0.019589    1.400000    0.255470
    0.019589    1.450000    0.328047
    0.019589    1.500000    0.454633
    0.019589    1.550000    0.703550
    0.019589    1.600000    1.288195
    0.019589    1.650000    3.000836
    0.019589    1.700000    6.440305
    0.019589    1.750000    3.680321
    0.019589    1.800000    1.567817
    0.019589    1.850000    0.900113
    0.019589    1.900000    0.671085
    0.019589    1.950000    0.618118
    0.019589    2.000000    0.684685
    0.019589    2.050000    0.908746
    0.019589    2.100000    1.487095
    0.019589    2.150000    3.181230
    0.019589    2.200000    6.808465
    0.019589    2.250000    4.570065
    0.019589    2.300000    3.230303
    0.019589    2.350000    5.212701
    0.019589    2.400000    6.264632
    0.019589    2.450000    2.691151
    0.019589    2.500000    1.319319
    0.019589    2.550000    0.829513
    0.019589    2.600000    0.625741
    0.019589    2.650000    0.546571
    0.019589    2.700000    0.547074
    0.019589    2.750000    0.631786
    0.019589    2.800000    0.862816
    0.019589    2.850000    1.465476
    0.019589    2.900000    3.293533
    0.019589    2.950000    6.611581
    0.019589    3.000000    3.610242
 
    0.029384   -3.000000    0.891074
    0.029384   -2.950000    0.603685
    0.029384   -2.900000    0.447165
    0.029384   -2.850000    0.354332
    0.029384   -2.800000    0.296341
    0.029384   -2.750000    0.259321
    0.029384   -2.700000    0.236062
    0.029384   -2.650000    0.222656
    0.029384   -2.600000    0.217022
    0.029384   -2.550000    0.218222
    0.029384   -2.500000    0.226186
    0.029384   -2.450000    0.241680
    0.029384   -2.400000    0.266518
    0.029384   -2.350000    0.304125
    0.029384   -2.300000    0.360802
    0.029384   -2.250000    0.448662
    0.029384   -2.200000    0.593111
    0.029384   -2.150000    0.854912
    0.029384   -2.100000    1.408584
    0.029384   -2.050000    2.870688
    0.029384   -2.000000    6.581189
    0.029384   -1.950000    5.740163
    0.029384   -1.900000    4.500898
    0.029384   -1.850000    7.359535
    0.029384   -1.800000    6.491578
    0.029384   -1.750000    5.790571
    0.029384   -1.700000    7.930981
    0.029384   -1.650000    4.707411
    0.029384   -1.600000    4.377350
    0.029384   -1.550000    7.156119
    0.029384   -1.500000    4.281393
    0.029384   -1.450000    1.868822
    0.029384   -1.400000    1.029639
    0.029384   -1.350000    0.669371
    0.029384   -1.300000    0.481755
    0.029384   -1.250000    0.370687
    0.029384   -1.200000    0.299059
    0.029384   -1.150000    0.250076
    0.029384   -1.100000    0.215199
    0.029384   -1.050000    0.189699
    0.029384   -1.000000    0.170783
    0.029384   -0.950000    0.156731
    0.029384   -0.900000    0.146459
    0.029384   -0.850000    0.139290
    0.029384   -0.800000    0.134832
    0.029384   -0.750000    0.132913
    0.029384   -0.700000    0.133569
    0.029384   -0.650000    0.137063
    0.029384   -0.600000    0.143951
    0.029384   -0.550000    0.155232
    0.029384   -0.500000    0.172639
    0.029384   -0.450000    0.199229
    0.029384   -0.400000    0.240678
    0.029384   -0.350000    0.308335
    0.029384   -0.300000    0.427399
    0.029384   -0.250000    0.662339
    0.029384   -0.200000    1.212409
    0.029384   -0.150000    2.815767
    0.029384   -0.100000    6.313175
    0.029384   -0.050000    3.825612
    0.029384    0.000000    1.569257
    0.029384    0.050000    0.843653
    0.029384    0.100000    0.577062
    0.029384    0.150000    0.480629
    0.029384    0.200000    0.478761
    0.029384    0.250000    0.570230
    0.029384    0.300000    0.826204
    0.029384    0.350000    1.519750
    0.029384    0.400000    3.674493
    0.029384    0.450000    6.381778
    0.029384    0.500000    2.930308
    0.029384    0.550000    1.248043
    0.029384    0.600000    0.675198
    0.029384    0.650000    0.432578
    0.029384    0.700000    0.310323
    0.029384    0.750000    0.241140
    0.029384    0.800000    0.198920
    0.029384    0.850000    0.171984
    0.029384    0.900000    0.154537
    0.029384    0.950000    0.143502
    0.029384    1.000000    0.137186
    0.029384    1.050000    0.134691
    0.029384    1.100000    0.135632
    0.029384    1.150000    0.140029
    0.029384    1.200000    0.148310
    0.029384    1.250000    0.161422
    0.029384    1.300000    0.181112
    0.029384    1.350000    0.210534
    0.029384    1.400000    0.255590
    0.029384    1.450000    0.328142
    0.029384    1.500000    0.454660
    0.029384    1.550000    0.703380
    0.029384    1.600000    1.287362
    0.029384    1.650000    2.997579
    0.029384    1.700000    6.439213
    0.029384    1.750000    3.685547
    0.029384    1.800000    1.570281
    0.029384    1.850000    0.902095
    0.029384    1.900000    0.673548
    0.029384    1.950000    0.621923
    0.029384    2.000000    0.691504
    0.029384    2.050000    0.923063
    0.029384    2.100000    1.524074
    0.029384    2.150000    3.297155
    0.029384    2.200000    6.869984
    0.029384    2.250000    4.421848
    0.029384    2.300000    3.179272
    0.029384    2.350000    5.187061
    0.029384    2.400000    6.264111
    0.029384    2.450000    2.692025
    0.029384    2.500000    1.319034
    0.029384    2.550000    0.829525
    0.029384    2.600000    0.626413
    0.029384    2.650000    0.548222
    0.029384    2.700000    0.550379
    0.029384    2.750000    0.638432
    0.029384    2.800000    0.877636
    0.029384    2.850000    1.505310
    0.029384    2.900000    3.418734
    0.029384    2.950000    6.621849
    0.029384    3.000000    3.479470
 
    0.039179   -3.000000    0.864780
    0.039179   -2.950000    0.590218
    0.039179   -2.900000    0.439422
    0.039179   -2.850000    0.349482
    0.039179   -2.800000    0.293091
    0.039179   -2.750000    0.257013
    0.039179   -2.700000    0.234330
    0.039179   -2.650000    0.221279
    0.039179   -2.600000    0.215849
    0.039179   -2.550000    0.217138
    0.039179   -2.500000    0.225082
    0.039179   -2.450000    0.240425
    0.039179   -2.400000    0.264919
    0.039179   -2.350000    0.301853
    0.039179   -2.300000    0.357226
    0.039179   -2.250000    0.442435
    0.039179   -2.200000    0.581008
    0.039179   -2.150000    0.828005
    0.039179   -2.100000    1.337122
    0.039179   -2.050000    2.638640
    0.039179   -2.000000    6.168673
    0.039179   -1.950000    6.295500
    0.039179   -1.900000    4.844042
    0.039179   -1.850000    7.730200
    0.039179   -1.800000    6.963433
    0.039179   -1.750000    7.374941
    0.039179   -1.700000    6.529321
    0.039179   -1.650000    3.375489
    0.039179   -1.600000    3.058303
    0.039179   -1.550000    5.403697
    0.039179   -1.500000    6.092401
    0.039179   -1.450000    2.586097
    0.039179   -1.400000    1.266304
    0.039179   -1.350000    0.766127
    0.039179   -1.300000    0.528525
    0.039179   -1.250000    0.396146
    0.039179   -1.200000    0.314175
    0.039179   -1.150000    0.259665
    0.039179   -1.100000    0.221610
    0.039179   -1.050000    0.194172
    0.039179   -1.000000    0.174021
    0.039179   -0.950000    0.159153
    0.039179   -0.900000    0.148328
    0.039179   -0.850000    0.140777
